x	y	Name
32,75050663	39,87193999	0
32,75051956	39,87147159	1
32,75044314	39,87077567	2
32,75021087	39,87113518	3
32,75010813	39,87088521	4
32,74996112	39,87065751	5
32,74984799	39,87047552	6
32,74973056	39,87032438	7
32,74951168	39,87003397	8
32,74962239	39,86997544	9
32,75000593	39,86981819	10
32,7502748	39,87015523	11
32,74992901	39,87058562	12
32,75038403	39,8703941	13
32,75030085	39,86985241	14
32,75047515	39,86985647	15
32,75053046	39,8696483	16
32,75058946	39,86937754	17
32,74996804	39,86974105	18
32,75024638	39,86977043	19
32,74951092	39,86982307	20
32,74938593	39,86987761	21
32,7492629	39,86973056	22
32,74911647	39,86958514	23
32,74936801	39,86968564	24
32,74951917	39,86943603	25
32,74951262	39,86912145	26
32,74970782	39,86967173	27
32,75006341	39,86963777	28
32,75028981	39,86959425	29
32,75037681	39,86943307	30
32,75040372	39,86903806	31
32,75062804	39,86908876	32
32,74989732	39,86900537	33
32,74950769	39,86900432	34
32,74950752	39,8688588	35
32,75049242	39,86881254	36
32,75067949	39,86885709	37
32,75052327	39,86859688	38
32,75074946	39,86860759	39
32,75074208	39,86833449	40
32,75053652	39,86833021	41
32,75051689	39,86817328	42
32,75044477	39,86812097	43
32,74893881	39,86857383	48
32,75018416	39,86817448	49
32,74972701	39,86823651	50
32,74943249	39,86845149	51
32,74893134	39,86847398	44
32,7489572	39,86898983	45
32,74873059	39,86856788	47
32,74871119	39,86822402	52
32,74889763	39,86820877	53
32,7485284	39,86855718	46
32,74889382	39,86810251	54
32,74931088	39,86805937	55
32,75001015	39,86718994	60
32,75039484	39,86787031	56
32,7498273	39,86788866	57
32,75039061	39,8676454	58
32,75039559	39,86724321	59
32,74954143	39,86721968	61
32,74903914	39,86725316	62
32,74906276	39,86775978	63
32,74902878	39,86792448	64
32,7489011	39,86803927	65
32,74887522	39,86777121	66
32,74883648	39,86735792	67
32,74882522	39,86725298	68
32,74858734	39,86831688	69
32,74870313	39,86805391	70
32,74848054	39,86791539	71
32,74834011	39,86820436	72
32,74820668	39,86802082	73
32,74859778	39,8677351	74
32,74886587	39,86769248	75
32,74880661	39,86697133	76
32,74896399	39,86665995	77
32,74877256	39,86665414	78
32,74866019	39,86667926	79
32,74875437	39,86635033	80
32,74941253	39,86660418	81
32,74895443	39,86630378	82
32,74925925	39,86633027	83
32,74947379	39,86633704	84
32,74966092	39,86628908	85
32,7496671	39,8660345	86
32,75018486	39,86602733	87
32,75038787	39,8663381	88
32,75038658	39,86667349	89
32,74986688	39,86667054	90
32,74877845	39,86612355	91
32,74872005	39,86595995	92
32,74861321	39,86601884	93
32,74856879	39,86621404	94
32,74902552	39,86569609	95
32,74899801	39,86549392	96
32,74928406	39,86571702	97
32,74923712	39,86557885	98
32,74946025	39,86566994	99
32,74977885	39,86579797	100
32,75004305	39,86592575	101
32,7507505	39,86752751	102
32,75058476	39,86720475	103
32,75127152	39,86778069	104
32,74902087	39,86981886	105
32,74881064	39,86969628	106
32,7487855	39,86923785	107
32,74893873	39,86916624	108
32,74860381	39,86918055	109
32,74854315	39,86899096	110
32,74816966	39,86902482	111
32,74795419	39,86921231	112
32,74960313	39,87079221	113
32,74934704	39,87091059	114
32,74907553	39,87069797	115
32,74910796	39,87090793	116
32,74911747	39,87130613	117
32,74947203	39,87160784	118
32,74956543	39,87182934	119
32,74982136	39,8720578	120
32,75025145	39,87179954	121
32,74908881	39,87018725	122
32,74810066	39,86737499	123
32,74776546	39,86733108	124
32,74733887	39,86741889	125
32,74727823	39,86803962	126
32,74809335 39,86858642 127
32,74908611 39,86900833 128
32,74786581 39,86802    129
32,74921865 39,8680929  130
